### BEGIN ps -ef ###

UID          PID    PPID  C STIME TTY          TIME CMD
root           1       0  0 Feb21 ?        00:00:12 /sbin/init maybe-ubiquity
root           2       0  0 Feb21 ?        00:00:00 [kthreadd]
root           3       2  0 Feb21 ?        00:00:00 [rcu_gp]
root           4       2  0 Feb21 ?        00:00:00 [rcu_par_gp]
root           6       2  0 Feb21 ?        00:00:00 [kworker/0:0H]
root           8       2  0 Feb21 ?        00:00:00 [mm_percpu_wq]
root           9       2  0 Feb21 ?        00:00:02 [ksoftirqd/0]
root          10       2  0 Feb21 ?        00:00:42 [rcu_sched]
root          11       2  0 Feb21 ?        00:00:01 [migration/0]
root          12       2  0 Feb21 ?        00:00:00 [idle_inject/0]
root          14       2  0 Feb21 ?        00:00:00 [cpuhp/0]
root          15       2  0 Feb21 ?        00:00:00 [kdevtmpfs]
root          16       2  0 Feb21 ?        00:00:00 [netns]
root          17       2  0 Feb21 ?        00:00:00 [rcu_tasks_kthre]
root          18       2  0 Feb21 ?        00:00:00 [kauditd]
root          19       2  0 Feb21 ?        00:00:00 [khungtaskd]
root          20       2  0 Feb21 ?        00:00:00 [oom_reaper]
root          21       2  0 Feb21 ?        00:00:00 [writeback]
root          22       2  0 Feb21 ?        00:00:00 [kcompactd0]
root          23       2  0 Feb21 ?        00:00:00 [ksmd]
root          24       2  0 Feb21 ?        00:00:00 [khugepaged]
root          70       2  0 Feb21 ?        00:00:00 [kintegrityd]
root          71       2  0 Feb21 ?        00:00:00 [kblockd]
root          72       2  0 Feb21 ?        00:00:00 [blkcg_punt_bio]
root          73       2  0 Feb21 ?        00:00:00 [tpm_dev_wq]
root          74       2  0 Feb21 ?        00:00:00 [ata_sff]
root          75       2  0 Feb21 ?        00:00:00 [md]
root          76       2  0 Feb21 ?        00:00:00 [edac-poller]
root          77       2  0 Feb21 ?        00:00:00 [devfreq_wq]
root          78       2  0 Feb21 ?        00:00:00 [watchdogd]
root          81       2  0 Feb21 ?        00:00:00 [kswapd0]
root          82       2  0 Feb21 ?        00:00:00 [ecryptfs-kthrea]
root          84       2  0 Feb21 ?        00:00:00 [kthrotld]
root          85       2  0 Feb21 ?        00:00:00 [irq/24-pciehp]
root          86       2  0 Feb21 ?        00:00:00 [irq/25-pciehp]
root          87       2  0 Feb21 ?        00:00:00 [irq/26-pciehp]
